cases 17 responses 84
0 self 1 0.0029888109999944845
1 self 1 0.006510068000011415
4 self 1 0.026094389000007823
3 pair 3 0.07056631899999388
2 pair 3 0.11012468799998487
6 pair 3 1.6127461420000202
5 pair 3 1.9524730660000102
8 path 6 5.234724688999989
9 path 6 5.303782722999983
10 path 6 5.329113648999964
12 path 6 2.906793927000024
13 path 6 3.2394047109999633
11 common 6 7.77354698299996
15 path 6 3.2563341400000354
14 path 6 4.8940139910000084
7 corner 6 23.44153978999998
16 cube 15 43.045597421000025
COMPLETE 17 84
